author,month,no_of_ratings,opinions,position,rating,readers,title
B.A. Paris,12/2020,20101,2752,45,"7,5",32891,Za zamkniętymi drzwiami
Agnieszka Siepielska,12/2020,647,138,46,"7,5",1039,Luca
L.J. Shen,12/2020,667,158,47,"7,7",1221,Pretty Reckless
Jakub Małecki,12/2020,2401,447,48,"7,7",4675,Saturnin
Ken Follett,12/2020,740,163,49,"8,0",1792,Niech stanie się światłość
Brandon Sanderson,12/2020,8259,923,50,"8,7",21777,Droga Królów
Hanya Yanagihara,12/2020,11234,1851,51,"7,8",28746,Małe życie
Leigh Bardugo,12/2020,5924,694,52,"8,3",14513,Szóstka wron
Brit Bennett,12/2020,576,95,53,"7,6",2056,Moja znikająca połowa
Yuval Noah Harari,12/2020,3152,330,62,"8,0",10957,Homo deus. Krótka historia jutra
Przemysław Piotrowski,12/2020,2354,551,63,"7,9",4041,Sfora
Kate Quinn,12/2020,221,51,64,"8,0",989,Łowczyni
Joanna Balicka,12/2020,470,193,65,"7,1",933,Miss Independent
Leigh Bardugo,12/2020,463,76,66,"7,2",2138,Dziewiąty dom
Frédéric Martel,12/2020,1253,280,67,"7,2",4592,Sodoma. Hipokryzja i władza w Watykanie
Michaił Bułhakow,12/2020,2864,2854,68,"8,4",80814,Mistrz i Małgorzata
Danielle Lori,12/2020,635,127,69,"8,0",1065,The Sweetest Oblivion
Danielle Lori,12/2020,363,78,70,"8,2",623,The Maddest Obsession
Donna Tartt,12/2020,4283,560,71,"7,7",13266,Szczygieł
Louisa May Alcott,12/2020,1196,172,72,"7,2",3500,Małe kobietki
Yuval Noah Harari,12/2020,3298,339,73,"7,7",11372,21 lekcji na XXI wiek
Ken Follett,12/2020,6326,664,74,"8,1",13966,Filary Ziemi
George Orwell,12/2020,21177,2359,21,"8,5",66706,Rok 1984
L.J. Shen,12/2020,698,91,54,"7,3",1120,Uwodziciel
Anna Wolf,12/2020,2596,459,55,"7,1",4572,Serce gangstera
Anna Głowacz,12/2020,52,11,56,"8,1",204,Gwiezdne Dzieci. Świadomość
J.K. Rowling,12/2020,256,65,57,"7,8",809,Ikabog
Stieg Larsson,12/2020,41584,3349,58,"8,2",67995,"Mężczyźni, którzy nienawidzą kobiet"
Harper Lee,12/2020,13550,1063,59,"8,2",34963,Zabić drozda
Olga Tokarczuk,12/2020,3006,571,60,"7,8",11238,Księgi Jakubowe
Milan Kundera,12/2020,11483,636,75,"7,9",27375,Nieznośna lekkość bytu
Anna Langner,12/2020,737,232,76,"7,4",1227,Nie byłaś grzeczna w tym roku
Radosław Kotarski,12/2020,2873,366,77,"7,9",8232,Włam się do mózgu
A.E. Murphy,12/2020,863,209,78,"7,5",1345,Jego asystentka
Monika Nerc,12/2020,652,169,79,"7,5",1190,Dziedzic podziemia. Szept diabła
Melissa Darwood,12/2020,1807,475,80,"7,8",2969,Mój szef
Margaret Atwood,12/2020,10625,1316,22,"7,3",23169,Opowieść podręcznej
Marcin Iwuć,12/2020,725,347,23,"9,1",2157,Finansowa Forteca
Marek Marcinowski,12/2020,91,51,24,"7,4",686,Wiele do stracenia
Adam Leszczyński,12/2020,279,64,25,"7,8",2015,Ludowa historia Polski
Meg Adams,12/2020,473,144,26,"7,8",942,Gangsterskie porachunki
Alex Michaelides,12/2020,12495,1908,27,"7,4",21616,Pacjentka
Daniel Kahneman,12/2020,1913,210,28,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Przemysław Piotrowski,12/2020,1808,463,29,"8,2",3115,Cherub
Aneta Jadowska,12/2020,1883,378,30,"7,9",4070,Cud Miód Malina
Joanna Okuniewska,12/2020,489,78,1,"7,7",2212,Ja i moje przyjaciółki idiotki
Jacek Hugo-Bader,12/2020,77,22,31,"7,6",507,Szamańska choroba
Jojo Moyes,12/2020,20351,2787,32,"8,0",36120,Zanim się pojawiłeś
Robert Galbraith,12/2020,1100,198,33,"7,9",2172,Niespokojna krew
Damian Poprawa,12/2020,872,110,34,"9,3",1333,Miej go w d*pie
Jakub Małecki,12/2020,3936,678,35,"7,9",7544,Horyzont
Aldous Huxley,12/2020,18593,1322,36,"7,8",38247,Nowy wspaniały świat
Anna Wolf,12/2020,729,162,37,"7,2",1181,"Love-hate, Hate-love"
Rebecca F. Kuang,12/2020,2084,378,38,"7,6",5847,Wojna makowa
Katarzyna Rzepecka,12/2020,785,184,39,"7,2",1248,Wredny szef
Szczepan Twardoch,12/2020,10134,1247,2,"7,7",18435,Król
Walter Tevis,12/2020,2261,385,3,"7,6",5478,Gambit królowej
Joanna Gierak-Onoszko,12/2020,3962,574,4,"8,2",10531,27 śmierci Toby’ego Obeda
Szczepan Twardoch,12/2020,1932,325,5,"7,6",4495,Pokora
Delia Owens,12/2020,4412,751,6,"8,0",11621,Gdzie śpiewają raki
Joanna Bator,12/2020,877,229,7,"8,3",3326,"Gorzko, gorzko"
Radek Rak,12/2020,1838,352,8,"7,6",4703,Baśń o wężowym sercu albo wtóre słowo o Jakóbie Szeli
Alicja Sinicka,12/2020,1609,490,9,"7,0",3213,Służąca
Julia Quinn,12/2020,658,144,10,"7,2",1574,Ktoś mnie pokochał
Yuval Noah Harari,12/2020,7028,763,11,"8,3",22074,Sapiens. Od zwierząt do bogów
Viktor E. Frankl,12/2020,4708,491,40,"8,0",13631,Człowiek w poszukiwaniu sensu
Robert Galbraith,11/2020,1100,198,81,"7,9",2172,Niespokojna krew
Leigh Bardugo,12/2020,4007,451,12,"7,2",9123,Cień i kość
Katarzyna Nosowska,12/2020,3730,517,13,"7,3",6171,Powrót z Bambuko
Przemysław Piotrowski,12/2020,3405,843,14,"7,8",6318,Piętno
Szczepan Twardoch,12/2020,4129,504,15,"7,6",7216,Królestwo
Paulina Świst,12/2020,1777,462,16,"7,1",2696,Paprocany
Olga Tokarczuk,12/2020,680,116,17,"7,7",2108,Czuły narrator
Lucinda Riley,12/2020,1564,453,18,"7,7",8882,Siedem sióstr
Carlos Ruiz Zafón,12/2020,44032,4214,19,"8,2",78725,Cień wiatru
Milan Kundera,11/2020,11483,636,82,"7,9",27375,Nieznośna lekkość bytu
Marcel Moss,11/2020,755,270,83,"8,0",1500,Nie krzycz
Éric-Emmanuel Schmitt,11/2020,5793,3275,84,"8,1",59516,Oskar i Pani Róża
Walter Tevis,11/2020,351,385,85,"7,6",244,Gambit królowej
Olga Tokarczuk,11/2020,3006,571,86,"7,8",11238,Księgi Jakubowe
Nicola Yoon,11/2020,5875,726,87,"7,3",11990,Ponad wszystko
K.N. Haner,11/2020,603,202,88,"8,1",1084,Zły czas
Cora Reilly,11/2020,1242,144,89,"7,6",2244,Złączeni zemstą
Yuval Noah Harari,11/2020,3152,330,90,"8,0",10957,Homo deus. Krótka historia jutra
Remigiusz Mróz,12/2020,2160,303,20,"7,5",3581,Halny
Cora Reilly,11/2020,77,6,91,"8,2",772,Złączeni przeszłością
Marta W. Staniszewska,11/2020,532,249,92,"6,8",944,Grzeszne święta
K.N. Haner,11/2020,3298,339,93,"7,7",11372,21 lekcji na XXI wiek
Yuval Noah Harari,11/2020,576,95,94,"7,6",2056,Moja znikająca połowa
Brit Bennett,11/2020,195,38,95,"7,4",861,Zacznij myśleć jak mnich
Jay Shetty,11/2020,41584,3349,96,"8,2",67995,"Mężczyźni, którzy nienawidzą kobiet"
Stieg Larsson,11/2020,1374,272,97,"7,2",3471,Strażnik
Paulina Hendel,11/2020,4053,471,98,"7,5",9341,Genialna przyjaciółka
Jeanine Cummins,11/2020,591,176,61,"7,6",2218,Amerykański brud
Elena Ferrante,11/2020,5965,759,99,"7,3",13034,Morfina
Szczepan Twardoch,11/2020,1786,437,100,"7,7",3606,Czwarta małpa
Anna Langner,11/2020,737,232,62,"7,4",1227,Nie byłaś grzeczna w tym roku
Anna Wolf,11/2020,2596,459,63,"7,1",4572,Serce gangstera
Agnieszka Lingas-Łoniewska,11/2020,736,217,64,"7,6",1378,Molly
Katarzyna Małecka,11/2020,658,184,65,"7,5",1019,Blood from Blood. Vito
Harper Lee,11/2020,13550,1063,66,"8,2",34963,Zabić drozda
Hanya Yanagihara,11/2020,11234,1851,67,"7,8",28746,Małe życie
B.B. Reid,11/2020,735,156,68,"6,9",1410,Fear Me
Daphne du Maurier,11/2020,2683,378,69,"7,5",7373,Rebeka
Viktor E. Frankl,11/2020,4708,491,70,"8,0",13631,Człowiek w poszukiwaniu sensu
Ken Follett,11/2020,6326,664,71,"8,1",13966,Filary Ziemi
Melanie Moreland,11/2020,494,124,72,"7,0",920,Bentley
Cora Reilly,11/2020,3100,363,73,"7,7",5369,Złączeni honorem
Alex North,11/2020,859,350,74,"7,0",1551,W cieniu zła
Cora Reilly,11/2020,779,146,75,"8,0",1490,Złamana lojalność
Holly Miller,11/2020,407,204,76,"7,8",956,Nas dwoje
Katarzyna Bester,11/2020,619,195,77,"7,0",1056,Świąteczne nieporozumienie
Nassim Nicholas Taleb,11/2020,723,98,78,"7,4",4242,Czarny łabędź. Jak nieprzewidywalne zdarzenia rządzą naszym życiem
Melanie Moreland,11/2020,297,92,79,"7,4",575,Aiden
Jakub Szamałek,11/2020,3195,610,80,"7,5",5967,Cokolwiek wybierzesz
Konrad Możdżeń,11/2020,311,115,41,"7,4",1518,Chodź ze mną
Cora Reilly,11/2020,878,137,42,"7,8",1789,Złączeni miłością
Aldous Huxley,11/2020,18593,1322,43,"7,8",38247,Nowy wspaniały świat
Daniel Kahneman,11/2020,1913,210,44,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Marcin Pałasz,11/2020,268,67,45,"7,8",581,Sposób na Elfa
Remigiusz Mróz,11/2020,3164,381,46,"7,5",4957,Precedens
Adam Leszczyński,11/2020,279,64,47,"7,8",2015,Ludowa historia Polski
Clive Staples Lewis,11/2020,344,40,48,"7,4",1609,Cztery miłości
Bridget Collins,11/2020,688,149,49,"7,1",2914,Księgi zapomnianych żyć
 A.S. Sivar,11/2020,842,190,50,"7,3",1422,Piekielny układ
Michaił Bułhakow,11/2020,2864,2854,51,"8,4",80814,Mistrz i Małgorzata
Przemysław Piotrowski,11/2020,2354,551,52,"7,9",4041,Sfora
K.A. Figaro,11/2020,261,78,53,"7,8",448,Bez tchu
Kristin Hannah,11/2020,8415,1266,54,"8,3",17094,Słowik
Max Czornyj,11/2020,1073,266,55,"7,2",2557,Córka nazisty
B.A. Paris,11/2020,20101,2752,56,"7,5",32891,Za zamkniętymi drzwiami
Radosław Kotarski,11/2020,2873,366,57,"7,9",8232,Włam się do mózgu
Damian Poprawa,11/2020,872,110,58,"9,3",1333,Miej go w d*pie
Brandon Sanderson,11/2020,8259,923,59,"8,7",21777,Droga Królów
Kristen Callihan,11/2020,932,192,60,"7,3",1610,Niegrzeczny idol
Wojciech Chmielarz,10/2020,3507,903,61,"7,1",5388,Wyrwa
Wojciech Kowalczyk,10/2020,1160,102,81,"7,0",1907,Kowal. Prawdziwa historia
D. B. Foryś,10/2020,376,139,62,"7,5",706,Miłosny Blef
Harper Lee,10/2020,13550,1063,63,"8,2",34963,Zabić drozda
Patrick Süskind,10/2020,22736,1616,64,"7,2",39189,Pachnidło. Historia pewnego mordercy
Jakub Szamałek,10/2020,1164,234,65,"7,4",1930,Gdziekolwiek spojrzysz
Walter Tevis,10/2020,351,385,66,"7,6",244,Gambit królowej
Agnieszka Lingas-Łoniewska,10/2020,736,217,67,"7,6",1378,Molly
Bernard Minier,10/2020,405,92,68,"7,2",947,Dolina
Louisa May Alcott,10/2020,1196,172,69,"7,2",3500,Małe kobietki
Joanna Jax,10/2020,362,62,70,"7,6",880,Córka fałszerza tom I
Krzysztof Stanowski,10/2020,11234,1851,82,"7,8",28746,Małe życie
Hanya Yanagihara,10/2020,8896,1024,83,"8,2",18217,Dallas '63
Stephen King,10/2020,999,144,84,"8,3",3483,Bezgwiezdne Morze
Erin Morgenstern,10/2020,955,116,85,"7,6",3506,Obudź w sobie olbrzyma
Anthony Robbins,10/2020,2864,2854,86,"8,4",80814,Mistrz i Małgorzata
Michaił Bułhakow,10/2020,2873,366,87,"7,9",8232,Włam się do mózgu
Radosław Kotarski,10/2020,490,92,88,"7,1",802,Money Man
Olga Tokarczuk,11/2020,680,116,21,"7,7",2108,Czuły narrator
Jeanine Cummins,10/2020,591,176,41,"7,6",2218,Amerykański brud
Remigiusz Mróz,10/2020,20327,2355,71,"7,4",32738,Kasacja
Anna Kańtoch,10/2020,651,168,72,"7,1",1264,Wiosna zaginionych
Brandon Sanderson,10/2020,8259,923,73,"8,7",21777,Droga Królów
Viktor E. Frankl,10/2020,4708,491,74,"8,0",13631,Człowiek w poszukiwaniu sensu
Szczepan Twardoch,10/2020,10134,1247,75,"7,7",18435,Król
Jakub Bielawski,10/2020,188,89,76,"7,2",1144,Dunkel
Max Czornyj,10/2020,999,236,77,"7,6",1976,Zimny chirurg
Terri E. Laine,10/2020,341,76,89,"8,0",1261,Miasto niedźwiedzia
Fredrik Backman,10/2020,1242,144,90,"7,6",2244,Złączeni zemstą
Cora Reilly,10/2020,859,350,91,"7,0",1551,W cieniu zła
Alex North,10/2020,3195,610,92,"7,5",5967,Cokolwiek wybierzesz
Jakub Szamałek,10/2020,1808,463,93,"8,2",3115,Cherub
Przemysław Piotrowski,10/2020,171,88,94,"7,9",458,Odporność. Czy Twoje dziecko może nie chorować?
Marcin Korczyk,10/2020,15057,1388,95,"8,0",31462,Pan Lodowego Ogrodu - tom I
Jarosław Grzędowicz,10/2020,4053,471,96,"7,5",9341,Genialna przyjaciółka
Elena Ferrante,10/2020,194,88,97,"7,0",465,Zabójcza gra
Carlos Ruiz Zafón,11/2020,44032,4214,22,"8,2",78725,Cień wiatru
A.E. Murphy,11/2020,863,209,23,"7,5",1345,Jego asystentka
Jakub Małecki,11/2020,3936,678,24,"7,9",7544,Horyzont
Marcin Iwuć,11/2020,725,347,25,"9,1",2157,Finansowa Forteca
Joanna Balicka,11/2020,470,193,26,"7,1",933,Miss Independent
Alex Michaelides,11/2020,12495,1908,27,"7,4",21616,Pacjentka
Melissa Darwood,11/2020,1807,475,28,"7,8",2969,Mój szef
Kristen Callihan,11/2020,878,196,29,"7,7",1373,Niegrzeczny manager
Clive Staples Lewis,11/2020,2824,263,30,"7,6",7145,Listy starego diabła do młodego
Joanna Bator,11/2020,877,229,31,"8,3",3326,"Gorzko, gorzko"
Monika Nerc,11/2020,652,169,32,"7,5",1190,Dziedzic podziemia. Szept diabła
Rebecca F. Kuang,11/2020,2084,378,33,"7,6",5847,Wojna makowa
K.N. Haner,10/2020,1000,265,42,"7,1",2010,Złe miejsce
Rebecca F. Kuang,10/2020,2084,378,43,"7,6",5847,Wojna makowa
B.B. Reid,10/2020,735,156,44,"6,9",1410,Fear Me
Aldous Huxley,10/2020,18593,1322,45,"7,8",38247,Nowy wspaniały świat
Regina Brett,10/2020,6179,785,46,"7,4",13585,Bóg nigdy nie mruga. 50 lekcji na trudniejsze chwile w życiu
Remigiusz Mróz,10/2020,2762,483,47,"7,4",4316,Osiedle RZNiW
Katy Evans,10/2020,461,112,48,"7,2",1155,Racer
B.A. Paris,10/2020,20101,2752,49,"7,5",32891,Za zamkniętymi drzwiami
Cora Reilly,10/2020,3100,363,50,"7,7",5369,Złączeni honorem
Victoria Aveyard,10/2020,8581,1088,51,"7,5",20062,Czerwona Królowa
Eliana Lascaris,10/2020,308,109,52,"7,1",681,Patron
Daniel Kahneman,10/2020,1913,210,53,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Milan Kundera,10/2020,11483,636,78,"7,9",27375,Nieznośna lekkość bytu
Morgan Audic,10/2020,1068,288,79,"7,8",2350,Jaskółki z Czarnobyla
Lucinda Riley,10/2020,444,107,80,"7,5",950,Dziewczyna z Neapolu
Caroline Angel,10/2020,654,109,98,"7,4",1218,Bestia
Max Czornyj,10/2020,341,103,99,"8,1",748,Wachmistrz
Krzysztof Bochus,10/2020,2596,459,100,"7,1",4572,Serce gangstera
Szczepan Twardoch,11/2020,4129,504,34,"7,6",7216,Królestwo
Kristen Ashley,11/2020,501,150,35,"7,8",856,Zabójczy kusiciel
Frank Herbert,11/2020,937,941,36,"8,2",24076,Diuna
Marcel Moss,11/2020,1527,442,37,"7,6",3542,Nie wiesz wszystkiego
Victoria Aveyard,11/2020,8581,1088,38,"7,5",20062,Czerwona Królowa
Jakub Małecki,11/2020,2401,447,39,"7,7",4675,Saturnin
Ken Follett,11/2020,740,163,40,"8,0",1792,Niech stanie się światłość
Stefan Darda,10/2020,722,151,54,"6,7",1284,Cymanowski chłód
Magdalena Witkiewicz,10/2020,8415,1266,55,"8,3",17094,Słowik
Kristin Hannah,10/2020,489,78,56,"7,7",2212,Ja i moje przyjaciółki idiotki
Joanna Okuniewska,10/2020,6326,664,57,"8,1",13966,Filary Ziemi
Ken Follett,10/2020,664,117,58,"8,1",1903,Republika smoka
Rebecca F. Kuang,10/2020,209,83,59,"7,3",768,W zmowie z mordercą
Bartłomiej Kowaliński,10/2020,11414,1114,60,"7,5",18735,Rewizja
Marek Marcinowski,11/2020,91,51,1,"7,4",686,Wiele do stracenia
Szczepan Twardoch,11/2020,10134,1247,2,"7,7",18435,Król
Walter Tevis,11/2020,2261,385,3,"7,6",5478,Gambit królowej
Szczepan Twardoch,11/2020,1932,325,4,"7,6",4495,Pokora
Alicja Sinicka,11/2020,1609,490,5,"7,0",3213,Służąca
Paulina Świst,11/2020,1777,462,6,"7,1",2696,Paprocany
Frédéric Martel,11/2020,1253,280,7,"7,2",4592,Sodoma. Hipokryzja i władza w Watykanie
Margaret Atwood,11/2020,10625,1316,8,"7,3",23169,Opowieść podręcznej
Remigiusz Mróz,11/2020,2160,303,9,"7,5",3581,Halny
Joanna Gierak-Onoszko,11/2020,3962,574,10,"8,2",10531,27 śmierci Toby’ego Obeda
Katarzyna Nosowska,11/2020,3730,517,11,"7,3",6171,Powrót z Bambuko
 Bethany-Kris,10/2020,470,86,21,"7,3",917,Lucian
Joanna Okuniewska,11/2020,489,78,12,"7,7",2212,Ja i moje przyjaciółki idiotki
Delia Owens,11/2020,4412,751,13,"8,0",11621,Gdzie śpiewają raki
Przemysław Piotrowski,11/2020,1808,463,14,"8,2",3115,Cherub
Radek Rak,11/2020,1838,352,15,"7,6",4703,Baśń o wężowym sercu albo wtóre słowo o Jakóbie Szeli
Przemysław Piotrowski,11/2020,3405,843,16,"7,8",6318,Piętno
Lucinda Riley,11/2020,1564,453,17,"7,7",8882,Siedem sióstr
Yuval Noah Harari,11/2020,7028,763,18,"8,3",22074,Sapiens. Od zwierząt do bogów
George Orwell,11/2020,21177,2359,19,"8,5",66706,Rok 1984
Aneta Jadowska,11/2020,1883,378,20,"7,9",4070,Cud Miód Malina
Marcel Moss,10/2020,1527,442,22,"7,6",3542,Nie wiesz wszystkiego
Carlos Ruiz Zafón,10/2020,44032,4214,23,"8,2",78725,Cień wiatru
Alex Michaelides,10/2020,12495,1908,24,"7,4",21616,Pacjentka
Bridget Collins,10/2020,688,149,25,"7,1",2914,Księgi zapomnianych żyć
George Orwell,10/2020,21177,2359,26,"8,5",66706,Rok 1984
Kristen Ashley,10/2020,579,162,27,"7,5",1019,Od pierwszego wejrzenia
Lucinda Riley,10/2020,1564,453,28,"7,7",8882,Siedem sióstr
Monika Nerc,10/2020,652,169,29,"7,5",1190,Dziedzic podziemia. Szept diabła
Remigiusz Mróz,10/2020,2160,303,30,"7,5",3581,Halny
Cora Reilly,10/2020,878,137,31,"7,8",1789,Złączeni miłością
Max Czornyj,10/2020,1073,266,32,"7,2",2557,Córka nazisty
Abby Jimenez,10/2020,2132,475,33,"7,6",3796,To tylko przyjaciel
Przemysław Piotrowski,10/2020,2354,551,34,"7,9",4041,Sfora
Yuval Noah Harari,10/2020,7028,763,35,"8,3",22074,Sapiens. Od zwierząt do bogów
Adelina Tulińska,10/2020,606,118,36,"7,1",985,Zależna od mafii
Nassim Nicholas Taleb,10/2020,723,98,37,"7,4",4242,Czarny łabędź. Jak nieprzewidywalne zdarzenia rządzą naszym życiem
Daphne du Maurier,10/2020,2683,378,38,"7,5",7373,Rebeka
Marcin Iwuć,10/2020,725,347,39,"9,1",2157,Finansowa Forteca
Szczepan Twardoch,10/2020,8204,1247,40,"7,8",14616,Król
Marek Marcinowski,10/2020,91,51,1,"7,4",686,Wiele do stracenia
Radek Rak,10/2020,1838,352,2,"7,6",4703,Baśń o wężowym sercu albo wtóre słowo o Jakóbie Szeli
Szczepan Twardoch,10/2020,1932,325,3,"7,6",4495,Pokora
Rafał Pacześ,10/2020,1041,210,4,"6,5",1657,Grube wióry
Alicja Sinicka,10/2020,1609,490,5,"7,0",3213,Służąca
Margaret Atwood,10/2020,10625,1316,6,"7,3",23169,Opowieść podręcznej
Joanna Gierak-Onoszko,10/2020,3962,574,7,"8,2",10531,27 śmierci Toby’ego Obeda
Katarzyna Nosowska,10/2020,3730,517,8,"7,3",6171,Powrót z Bambuko
Melissa Darwood,10/2020,1807,475,9,"7,8",2969,Mój szef
Clive Staples Lewis,10/2020,2824,263,10,"7,6",7145,Listy starego diabła do młodego
Przemysław Piotrowski,10/2020,3405,843,11,"7,8",6318,Piętno
Remigiusz Mróz,10/2020,3164,381,12,"7,5",4957,Precedens
Konrad Możdżeń,10/2020,311,115,13,"7,4",1518,Chodź ze mną
Jakub Małecki,10/2020,2401,447,14,"7,7",4675,Saturnin
Frank Herbert,10/2020,937,941,15,"8,2",24076,Diuna
Wojciech Chmielarz,10/2020,1925,444,16,"6,9",3098,Prosta sprawa
 A.S. Sivar,10/2020,842,190,17,"7,3",1422,Piekielny układ
Delia Owens,10/2020,4412,751,18,"8,0",11621,Gdzie śpiewają raki
Ken Follett,10/2020,740,163,19,"8,0",1792,Niech stanie się światłość
K.N. Haner,10/2020,603,202,20,"8,1",1084,Zły czas
Remigiusz Mróz,9/2020,3164,381,1,"7,5",4957,Precedens
Szczepan Twardoch,9/2020,1932,325,2,"7,6",4495,Pokora
Frank Herbert,9/2020,937,941,3,"8,2",24076,Diuna
Melissa Darwood,9/2020,1807,475,4,"7,8",2969,Mój szef
Przemysław Piotrowski,9/2020,3405,843,5,"7,8",6318,Piętno
Katarzyna Nosowska,9/2020,3730,517,6,"7,3",6171,Powrót z Bambuko
Jakub Małecki,9/2020,2401,447,7,"7,7",4675,Saturnin
Przemysław Piotrowski,9/2020,2354,551,8,"7,9",4041,Sfora
Marcel Moss,9/2020,1527,442,9,"7,6",3542,Nie wiesz wszystkiego
Abby Jimenez,9/2020,2132,475,10,"7,6",3796,To tylko przyjaciel
Delia Owens,9/2020,4412,751,11,"8,0",11621,Gdzie śpiewają raki
Joanna Papuzińska,9/2020,577,98,12,"7,8",1114,Asiunia
Maciej Szymanowicz,9/2020,723,98,13,"7,4",4242,Czarny łabędź. Jak nieprzewidywalne zdarzenia rządzą naszym życiem
Nassim Nicholas Taleb,9/2020,1073,266,14,"7,2",2557,Córka nazisty
Max Czornyj,9/2020,44032,4214,15,"8,2",78725,Cień wiatru
Carlos Ruiz Zafón,9/2020,12495,1908,16,"7,4",21616,Pacjentka
Alex Michaelides,9/2020,5778,558,17,"7,3",11579,Malowany ptak
Jerzy Kosiński,9/2020,171,88,18,"7,9",458,Odporność. Czy Twoje dziecko może nie chorować?
Marcin Korczyk,9/2020,2762,483,19,"7,4",4316,Osiedle RZNiW
Remigiusz Mróz,9/2020,1564,453,20,"7,7",8882,Siedem sióstr
Nassim Nicholas Taleb,9/2020,281,41,61,"8,1",1939,"Antykruchość. Jak żyć w świecie, którego nie rozumiemy"
Agnieszka Siepielska,9/2020,538,97,62,"7,9",857,Piekło Hulka
Brandon Sanderson,9/2020,8259,923,63,"8,7",21777,Droga Królów
Harper Lee,9/2020,13550,1063,64,"8,2",34963,Zabić drozda
Robert Ziębiński,9/2020,442,162,65,"6,7",838,Lockdown
Remigiusz Mróz,9/2020,3925,402,66,"7,4",6171,Ekstradycja
Morgan Audic,9/2020,1068,288,67,"7,8",2350,Jaskółki z Czarnobyla
Hanya Yanagihara,9/2020,11234,1851,68,"7,8",28746,Małe życie
Penelope Ward,9/2020,768,139,69,"7,4",1580,"Dzień, w którym powrócił"
Remigiusz Mróz,9/2020,20327,2355,41,"7,4",32738,Kasacja
Rachel Abbott,9/2020,349,73,81,"7,2",799,Zamknij drzwi
Anna Wolf,9/2020,657,186,70,"5,7",1084,Nie zostawię Cię
Monica James,9/2020,483,98,71,"7,2",1000,Bad Saint
Ałbena Grabowska,9/2020,578,160,72,"7,3",1458,Uczniowie Hippokratesa. Doktor Bogumił
Anna Todd,9/2020,5608,401,73,"7,2",10319,"After. Już nie wiem, kim bez ciebie jestem"
Alicja Sinicka,9/2020,1827,362,74,"7,1",3594,Oczy wilka
Viktor E. Frankl,9/2020,4708,491,75,"8,0",13631,Człowiek w poszukiwaniu sensu
Rebecca F. Kuang,9/2020,2084,378,76,"7,6",5847,Wojna makowa
Kristin Hannah,9/2020,8415,1266,42,"8,3",17094,Słowik
Wojciech Chmielarz,9/2020,3507,903,43,"7,1",5388,Wyrwa
George Orwell,9/2020,21177,2359,44,"8,5",66706,Rok 1984
B.A. Paris,9/2020,20101,2752,45,"7,5",32891,Za zamkniętymi drzwiami
Grzegorz Głuszak,9/2020,547,125,46,"7,6",1086,25 lat niewinności
Magdalena Parys,9/2020,120,49,47,"6,9",361,Książę
Victoria Aveyard,9/2020,8581,1088,48,"7,5",20062,Czerwona Królowa
Mary Kubica,9/2020,234,78,82,"7,1",570,Tamta kobieta
Éric-Emmanuel Schmitt,9/2020,5793,3275,83,"8,1",59516,Oskar i Pani Róża
Harlan Coben,9/2020,9632,842,84,"7,4",18589,W głębi lasu
Julia Cameron,9/2020,188,51,85,"7,7",1509,Droga artysty. Jak wyzwolić w sobie twórcę
Stieg Larsson,9/2020,41584,3349,86,"8,2",67995,"Mężczyźni, którzy nienawidzą kobiet"
Anna Wolf,9/2020,2596,459,87,"7,1",4572,Serce gangstera
Jarosław Grzędowicz,9/2020,15057,1388,88,"8,0",31462,Pan Lodowego Ogrodu - tom I
Jakub Małecki,9/2020,3936,678,77,"7,9",7544,Horyzont
Megan Campisi,9/2020,850,112,78,"7,8",2519,Zjadaczka grzechów
Stanisław Lem,9/2020,857,103,79,"7,1",2063,Szpital Przemienienia
Michaił Bułhakow,9/2020,2864,2854,80,"8,4",80814,Mistrz i Małgorzata
Szczepan Twardoch,9/2020,8204,1247,21,"7,8",14616,Król
Jacek Dukaj,9/2020,145,32,49,"6,9",588,Imperium chmur
Magdalena Winnicka,9/2020,612,267,50,"6,7",934,Kostandin
Remigiusz Mróz,9/2020,2406,380,51,"7,2",3870,Lot 202
K.N. Haner,9/2020,603,202,52,"8,1",1084,Zły czas
Danielle Lori,9/2020,635,127,53,"8,0",1065,The Sweetest Oblivion
Krzysztof Domaradzki,9/2020,771,252,54,"7,4",1754,Sprzedawca
Elena Ferrante,9/2020,4053,471,55,"7,5",9341,Genialna przyjaciółka
Wasilij Machanienko,9/2020,813,147,56,"7,6",1956,Droga Szamana. Etap 1: Początek
Cezary Głuch,9/2020,730,304,57,"9,3",1619,Inteligentny Inwestor XXI Wieku - Tom I
Aldous Huxley,9/2020,18593,1322,58,"7,8",38247,Nowy wspaniały świat
Milan Kundera,9/2020,11483,636,59,"7,9",27375,Nieznośna lekkość bytu
Radosław Kotarski,9/2020,2873,366,89,"7,9",8232,Włam się do mózgu
Marcel Moss,9/2020,1330,424,90,"7,7",2757,Pokaż mi
Suzanne Collins,9/2020,2313,438,91,"7,6",5375,Ballada ptaków i węży
Monika Skabara,9/2020,774,204,92,"7,3",1336,Rosyjska księżniczka
Kate Elizabeth Russell,9/2020,998,239,93,"7,8",3201,Moja mroczna Vanesso
 A.S. Sivar,9/2020,842,190,94,"7,3",1422,Piekielny układ
