author,month,no_of_ratings,opinions,position,rating,readers,title
Kristen Ashley,7/2020,166,36,57,"6,9",851,Auroville. Miasto z marzeń
Katarzyna Boni,7/2020,158,36,58,"7,3",430,Na odległość
Beth Reekles,7/2020,8259,923,59,"8,7",21777,Droga Królów
Brandon Sanderson,7/2020,937,941,60,"8,2",24076,Diuna
Kinga Litkowiec,7/2020,257,83,82,"7,7",611,Nowy Układ
Christina Lauren,7/2020,1029,194,83,"7,2",1838,Podróż nieślubna
Stephen King,7/2020,4145,705,84,"7,6",8164,Instytut
Leigh Bardugo,7/2020,5924,694,85,"8,3",14513,Szóstka wron
Camilla Läckberg,7/2020,1390,330,86,"6,3",2460,Srebrne skrzydła
Agnieszka Lingas-Łoniewska,7/2020,653,127,87,"7,7",1178,Mars
Gabriel García Márquez,7/2020,16920,1088,88,"7,9",37718,Sto lat samotności
Cora Reilly,7/2020,1492,179,89,"7,7",2623,Złączeni pokusą
Aniela Wilk,7/2020,191,124,90,"7,2",411,Figurantka
Rebecca Makkai,7/2020,1220,217,91,"7,8",4378,Wierzyliśmy jak nikt
Łukasz Orbitowski,7/2020,2498,408,92,"7,7",5537,Kult
Robert Małecki,8/2020,1500,379,2,"6,7",2802,Żałobnica
Abby Jimenez,8/2020,2132,475,3,"7,6",3796,To tylko przyjaciel
Przemysław Piotrowski,8/2020,2354,551,4,"7,9",4041,Sfora
Remigiusz Mróz,8/2020,2762,483,5,"7,4",4316,Osiedle RZNiW
Cora Reilly,8/2020,1242,144,6,"7,6",2244,Złączeni zemstą
Delia Owens,8/2020,4412,751,7,"8,0",11621,Gdzie śpiewają raki
Przemysław Piotrowski,8/2020,3405,843,8,"7,8",6318,Piętno
Marcel Moss,8/2020,1527,442,9,"7,6",3542,Nie wiesz wszystkiego
Stieg Larsson,7/2020,41584,3349,93,"8,2",67995,"Mężczyźni, którzy nienawidzą kobiet"
Yuval Noah Harari,7/2020,3298,339,94,"7,7",11372,21 lekcji na XXI wiek
Kristen Callihan,7/2020,932,192,95,"7,3",1610,Niegrzeczny idol
Heather Morris,7/2020,14246,1939,96,"7,3",25303,Tatuażysta z Auschwitz
Agnieszka Lingas-Łoniewska,7/2020,366,141,97,"7,1",736,Gorące lato
Marta W. Staniszewska,7/2020,1256,291,98,"6,1",2543,Dublerka
Sophie Hannah,7/2020,719,102,99,"7,6",1270,Vincent
Clare Mackintosh,7/2020,2864,2854,100,"8,4",80814,Mistrz i Małgorzata
Alex Michaelides,8/2020,12495,1908,10,"7,4",21616,Pacjentka
Carlos Ruiz Zafón,8/2020,44032,4214,11,"8,2",78725,Cień wiatru
Lucinda Riley,8/2020,1564,453,12,"7,7",8882,Siedem sióstr
Max Czornyj,8/2020,1073,266,13,"7,2",2557,Córka nazisty
Harlan Coben,8/2020,9632,842,14,"7,4",18589,W głębi lasu
Marcin Korczyk,8/2020,171,88,15,"7,9",458,Odporność. Czy Twoje dziecko może nie chorować?
Krzysztof Domaradzki,8/2020,771,252,16,"7,4",1754,Sprzedawca
Wojciech Chmielarz,8/2020,3507,903,17,"7,1",5388,Wyrwa
Joanna Gierak-Onoszko,8/2020,3962,574,18,"8,2",10531,27 śmierci Toby’ego Obeda
Cora Reilly,8/2020,3100,363,19,"7,7",5369,Złączeni honorem
Monica James,8/2020,483,98,20,"7,2",1000,Bad Saint
Cora Reilly,7/2020,1242,144,21,"7,6",2244,Złączeni zemstą
Alicja Sinicka,7/2020,613,118,22,"7,7",1177,Otwórz oczy
Meg Adams,7/2020,1046,232,23,"7,6",1924,Ochroniarz
Dan Simmons,7/2020,374,108,24,"7,3",1898,Abominacja
B.A. Paris,7/2020,20101,2752,25,"7,5",32891,Za zamkniętymi drzwiami
Yuval Noah Harari,7/2020,7028,763,26,"8,3",22074,Sapiens. Od zwierząt do bogów
Cora Reilly,7/2020,3100,363,27,"7,7",5369,Złączeni honorem
Kinga Litkowiec,7/2020,403,154,28,"7,6",1146,Nie mój dług
Marcin Korczyk,7/2020,171,88,29,"7,9",458,Odporność. Czy Twoje dziecko może nie chorować?
Monika Skabara,7/2020,774,204,30,"7,3",1336,Rosyjska księżniczka
Marcel Moss,7/2020,1330,424,31,"7,7",2757,Pokaż mi
Hanya Yanagihara,8/2020,11234,1851,41,"7,8",28746,Małe życie
Przemysław Piotrowski,7/2020,3405,843,32,"7,8",6318,Piętno
Cora Reilly,7/2020,871,116,33,"7,8",1554,Luca Vitiello
Wiktor Krajewski,7/2020,137,51,34,"7,4",546,Chciałbym nigdy cię nie poznać
George Orwell,7/2020,21177,2359,35,"8,5",66706,Rok 1984
Joanna Gierak-Onoszko,7/2020,3962,574,36,"8,2",10531,27 śmierci Toby’ego Obeda
Zygmunt Miłoszewski,7/2020,7355,971,37,"7,3",12382,Bezcenny
Alicja Skirgajłło,7/2020,424,123,38,"7,4",855,Trapped
Aldous Huxley,7/2020,18593,1322,39,"7,8",38247,Nowy wspaniały świat
Diane Setterfield,7/2020,1876,442,40,"7,5",5919,Była sobie rzeka
Aldous Huxley,8/2020,18593,1322,42,"7,8",38247,Nowy wspaniały świat
Kinga Litkowiec,8/2020,403,154,43,"7,6",1146,Nie mój dług
Milan Kundera,8/2020,11483,636,44,"7,9",27375,Nieznośna lekkość bytu
Elle Kennedy,8/2020,833,121,45,"7,6",1740,Ryzyko
Harper Lee,8/2020,13550,1063,46,"8,2",34963,Zabić drozda
Elena Ferrante,8/2020,4053,471,47,"7,5",9341,Genialna przyjaciółka
Monika Skabara,8/2020,774,204,48,"7,3",1336,Rosyjska księżniczka
Meghan March,8/2020,899,135,49,"7,6",1848,Pakt z diabłem
Meghan March,8/2020,546,80,50,"7,6",981,Serce diabła
Alicja Sinicka,7/2020,2582,639,1,"6,9",5240,Stażystka
Ashley Poston,8/2020,709,158,51,"7,0",1687,Zaczytana i Bestia
Daniel Kahneman,8/2020,1913,210,52,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Cora Reilly,8/2020,871,116,53,"7,8",1554,Luca Vitiello
Beth O'Leary,8/2020,1060,274,54,"7,1",2192,Zamiana
Brandon Sanderson,8/2020,8259,923,55,"8,7",21777,Droga Królów
Casey McQuiston,8/2020,1616,341,56,"7,4",3897,"Red, White & Royal Blue"
Diane Setterfield,8/2020,1876,442,57,"7,5",5919,Była sobie rzeka
Jarosław Grzędowicz,8/2020,15057,1388,58,"8,0",31462,Pan Lodowego Ogrodu - tom I
Morgan Audic,8/2020,1068,288,59,"7,8",2350,Jaskółki z Czarnobyla
Margaret Atwood,8/2020,10625,1316,60,"7,3",23169,Opowieść podręcznej
Harlan Coben,7/2020,9632,842,2,"7,4",18589,W głębi lasu
Remigiusz Mróz,7/2020,2762,483,3,"7,4",4316,Osiedle RZNiW
Suzanne Collins,7/2020,2313,438,4,"7,6",5375,Ballada ptaków i węży
Anna Wolf,7/2020,1103,168,5,"7,5",2000,Ryzyko gangstera
Carlos Ruiz Zafón,7/2020,44032,4214,6,"8,2",78725,Cień wiatru
Delia Owens,7/2020,4412,751,7,"8,0",11621,Gdzie śpiewają raki
Alex Michaelides,7/2020,12495,1908,8,"7,4",21616,Pacjentka
Wojciech Chmielarz,7/2020,3507,903,9,"7,1",5388,Wyrwa
